size,digits,algo,trial,elapsed,muls,adds
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,0.00045140006113797426,512,512
8,4,auto,1,0.0004486000398173928,512,512
8,4,schoolbook,0,0.0002927000168710947,512,512
8,4,schoolbook,1,0.0002698999596759677,512,512
8,4,karatsuba,0,0.0002720999764278531,512,512
8,4,karatsuba,1,0.0002840999513864517,512,512
8,4,strassen,0,0.0003231000155210495,512,512
8,4,strassen,1,0.0002815000480040908,512,512
8,8,auto,0,0.0005504000000655651,512,512
8,8,auto,1,0.0005020999815315008,512,512
8,8,schoolbook,0,0.00027769990265369415,512,512
8,8,schoolbook,1,0.00028469995595514774,512,512
8,8,karatsuba,0,0.0003106000367552042,512,512
8,8,karatsuba,1,0.00028929999098181725,512,512
8,8,strassen,0,0.0003255000337958336,512,512
8,8,strassen,1,0.000277700019069016,512,512
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
16,4,auto,0,0.0018797999946400523,4096,4096
16,4,auto,1,0.0018470000941306353,4096,4096
16,4,schoolbook,0,0.0016811999958008528,4096,4096
16,4,schoolbook,1,0.001657600048929453,4096,4096
16,4,karatsuba,0,0.0017432000022381544,4096,4096
16,4,karatsuba,1,0.0017352000577375293,4096,4096
16,4,strassen,0,0.0016594999469816685,4096,4096
16,4,strassen,1,0.0016604999545961618,4096,4096
16,8,auto,0,0.0021289000287652016,4096,4096
16,8,auto,1,0.0019810000667348504,4096,4096
16,8,schoolbook,0,0.0017625000327825546,4096,4096
16,8,schoolbook,1,0.001742799999192357,4096,4096
16,8,karatsuba,0,0.0017891000024974346,4096,4096
16,8,karatsuba,1,0.0017372999573126435,4096,4096
16,8,strassen,0,0.001855999929830432,4096,4096
16,8,strassen,1,0.001828300068154931,4096,4096
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
16,16,karatsuba,1,,,
16,16,strassen,0,,,
16,16,strassen,1,,,
4,4,auto,0,0.001539599965326488,64,64
4,4,auto,1,0.00024399999529123306,64,64
4,4,schoolbook,0,8.979998528957367e-05,64,64
4,4,schoolbook,1,7.149996235966682e-05,64,64
4,4,karatsuba,0,7.860001642256975e-05,64,64
4,4,karatsuba,1,8.969998452812433e-05,64,64
4,4,strassen,0,8.240004535764456e-05,64,64
4,4,strassen,1,7.839989848434925e-05,64,64
4,8,auto,0,0.00026899995282292366,64,64
4,8,auto,1,0.00029969995375722647,64,64
4,8,schoolbook,0,8.120003622025251e-05,64,64
4,8,schoolbook,1,7.910002022981644e-05,64,64
4,8,karatsuba,0,9.079999290406704e-05,64,64
4,8,karatsuba,1,9.039998985826969e-05,64,64
4,8,strassen,0,7.740000728517771e-05,64,64
4,8,strassen,1,8.399994112551212e-05,64,64
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,0.0006125000072643161,512,512
8,4,auto,1,0.0006099999882280827,512,512
8,4,schoolbook,0,0.0002788999117910862,512,512
8,4,schoolbook,1,0.0003010999644175172,512,512
8,4,karatsuba,0,0.0002744999947026372,512,512
8,4,karatsuba,1,0.0002615000121295452,512,512
8,4,strassen,0,0.0002533000661060214,512,512
8,4,strassen,1,0.00027520000003278255,512,512
8,8,auto,0,0.0005189999938011169,512,512
8,8,auto,1,0.0006225999677553773,512,512
8,8,schoolbook,0,0.000251100049354136,512,512
8,8,schoolbook,1,0.00025450007524341345,512,512
8,8,karatsuba,0,0.0002637000288814306,512,512
8,8,karatsuba,1,0.00027989991940557957,512,512
8,8,strassen,0,0.0002620000159367919,512,512
8,8,strassen,1,0.0003274999326094985,512,512
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
16,4,auto,0,0.001939500099979341,4096,4096
16,4,auto,1,0.0018703000387176871,4096,4096
16,4,schoolbook,0,0.0017148000188171864,4096,4096
16,4,schoolbook,1,0.0016385000199079514,4096,4096
16,4,karatsuba,0,0.0016118999337777495,4096,4096
16,4,karatsuba,1,0.0016986000118777156,4096,4096
16,4,strassen,0,0.0016282000578939915,4096,4096
16,4,strassen,1,0.0016672000056132674,4096,4096
16,8,auto,0,0.0019461000338196754,4096,4096
16,8,auto,1,0.0019658999517560005,4096,4096
16,8,schoolbook,0,0.0018299000803381205,4096,4096
16,8,schoolbook,1,0.002023400040343404,4096,4096
16,8,karatsuba,0,0.0016988998977467418,4096,4096
16,8,karatsuba,1,0.0018606999656185508,4096,4096
16,8,strassen,0,0.0017220000736415386,4096,4096
16,8,strassen,1,0.001762900035828352,4096,4096
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
16,16,karatsuba,1,,,
16,16,strassen,0,,,
16,16,strassen,1,,,
4,4,auto,0,0.0008400999940931797,64,64
4,4,auto,1,0.00026709993835538626,64,64
4,4,schoolbook,0,7.220008410513401e-05,64,64
4,4,schoolbook,1,6.599992047995329e-05,64,64
4,4,karatsuba,0,8.829997386783361e-05,64,64
4,4,karatsuba,1,7.509998977184296e-05,64,64
4,4,strassen,0,8.309993427246809e-05,64,64
4,4,strassen,1,8.099991828203201e-05,64,64
4,8,auto,0,0.00034879997838288546,64,64
4,8,auto,1,0.0002487000310793519,64,64
4,8,schoolbook,0,7.730000652372837e-05,64,64
4,8,schoolbook,1,6.889994256198406e-05,64,64
4,8,karatsuba,0,7.830001413822174e-05,64,64
4,8,karatsuba,1,8.479994721710682e-05,64,64
4,8,strassen,0,7.369997911155224e-05,64,64
4,8,strassen,1,8.389994036406279e-05,64,64
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,0.000444200006313622,512,512
8,4,auto,1,0.000749099999666214,512,512
8,4,schoolbook,0,0.00027080008294433355,512,512
8,4,schoolbook,1,0.00026899995282292366,512,512
8,4,karatsuba,0,0.00027520000003278255,512,512
8,4,karatsuba,1,0.00028069992549717426,512,512
8,4,strassen,0,0.00027249997947365046,512,512
8,4,strassen,1,0.00039629999082535505,512,512
8,8,auto,0,0.00044870004057884216,512,512
8,8,auto,1,0.0007314999820664525,512,512
8,8,schoolbook,0,0.00027009996119886637,512,512
8,8,schoolbook,1,0.0002788000274449587,512,512
8,8,karatsuba,0,0.00028659997042268515,512,512
8,8,karatsuba,1,0.00029850006103515625,512,512
8,8,strassen,0,0.00028140004724264145,512,512
8,8,strassen,1,0.0002677999436855316,512,512
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
16,4,auto,0,0.001881200005300343,4096,4096
16,4,auto,1,0.001877599977888167,4096,4096
16,4,schoolbook,0,0.0016333999810740352,4096,4096
16,4,schoolbook,1,0.001665899995714426,4096,4096
16,4,karatsuba,0,0.001722700078971684,4096,4096
16,4,karatsuba,1,0.0017667000647634268,4096,4096
16,4,strassen,0,0.0016351999947801232,4096,4096
16,4,strassen,1,0.0017477000365033746,4096,4096
16,8,auto,0,0.002075799973681569,4096,4096
16,8,auto,1,0.0020071000326424837,4096,4096
16,8,schoolbook,0,0.0016718999249860644,4096,4096
16,8,schoolbook,1,0.0017505999421700835,4096,4096
16,8,karatsuba,0,0.0016827000072225928,4096,4096
16,8,karatsuba,1,0.0017134000081568956,4096,4096
16,8,strassen,0,0.0016717000398784876,4096,4096
16,8,strassen,1,0.0018227000255137682,4096,4096
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
16,16,karatsuba,1,,,
16,16,strassen,0,,,
16,16,strassen,1,,,
4,4,auto,0,0.0006439000135287642,64,64
4,4,auto,1,0.00013429997488856316,64,64
4,4,schoolbook,0,4.509999416768551e-05,64,64
4,4,schoolbook,1,4.2599975131452084e-05,64,64
4,4,karatsuba,0,5.550007335841656e-05,64,64
4,4,karatsuba,1,6.150000263005495e-05,64,64
4,4,strassen,0,4.9600028432905674e-05,64,64
4,4,strassen,1,6.620003841817379e-05,64,64
4,8,auto,0,0.00015680002979934216,64,64
4,8,auto,1,0.0001218999968841672,64,64
4,8,schoolbook,0,5.6399963796138763e-05,64,64
